ID,original_language,good_diacritic,good_sentence_raw,good_sentence,good_translation,good_source,good_page,good_num,bad_diacritic,bad_sentence_raw,bad_sentence,bad_translation,bad_source,bad_page,bad_num,phenomenon,paradigm
1538,ind,g,Mereka belum beritahu saya apa-apa mengenainya ...,Mereka belum beritahu saya apa-apa mengenainya...,They have not yet told me anything about it ...,Kroeger 2014,144,20b,*,Mereka bukan beritahu saya apa-apa mengenainya ...,Meraka bukan beritahu saya apa-apa mengenainya...,They have not yet told me anything about it ...,Kroeger 2014,144,20b,Misc./Unknown,negation
1120,ind,g,Suaranya menakutkan anak-anak.,Suaranya menakutkan kanak-kanak.,His voice scared the children.,Sukarno 2003,290,70b,*,Anak-anak ditakutkan oleh suaranya.,Kanak-kanak ditakutkan oleh suaranya.,The children were scared by his voice.,Sukarno 2003,291,72b,Argument Structure,animacy
1030,ind,g,Ceritanya membosankan saya.,Ceritanya membosankan saya.,His story bored me.,Sukarno 2003,197,44c,*,Ceritanya membosani saya.,Ceritanya membosani saya.,His story bored me.,Sukarno 2003,197,45c,Morphology,causativization
1543,ind,g,Kemarin saya hanya makan nasi.,Semalam saya hanya makan nasi.,Yesterday I only ate rice.,Kroeger 2014,151,36a,*,Kemarin saya makan hanya nasi.,Semalam saya makan hanya nasi.,Yesterday I ate only rice.,Kroeger 2014,151,36b,Misc./Unknown,focus
1544,ind,g,Kemarin hanya saya yang makan nasi.,Semalam hanya saya yang makan nasi.,Yesterday it was only me who ate rice.,Kroeger 2014,151,36e,*,Kemarin hanya saya makan nasi.,Semalam hanya saya makan nasi.,Yesterday only I ate rice.,Kroeger 2014,151,36d,Filler-gap,cleft
1033,ind,g,Suara Maria sangat mencurigakan John.,Suara Maria sangat mencurigakan John.,Maria's voice made John (feel) so suspicious.,Sukarno 2003,198,48a,*,Suara Maria sangat mencurigai John.,Suara Maria sangat mencurigai John.,Maria's voice suspected John very much.,Sukarno 2003,199,48c,Morphology,causativization
1546,ind,g,"Menurut rencana, masjid ini bukan akan cuma jadi tempat shalat saja ...","Mengikut perancangan, masjid ini bukan akan cuma menjadi tempat solat...","According to the plan, this mosque will not just become merely a place for daily prayers ...",Kroeger 2014,154,47a,*,"Menurut rencana, masjid ini akan bukan cuma jadi tempat shalat saja ...","Mengikut perancangan, masjid ini akan bukan cuma menjadi tempat solat...",nan,Kroeger 2014,154,47b,Misc./Unknown,focus
1032,ind,g,Maria sangat menyenangi John.,Maria sangat menyenangi John.,Maria likes John very much.,Sukarno 2003,198,47d,*,Suara Maria sangat menyenangi John.,Suara Maria sangat menyenangi John.,Maria's voice likes John very much.,Sukarno 2003,198,47c,Argument Structure,animacy
1262,ind,g,"Ridwan, bang, pacarnya Dewi.","Ridwan, bang, kekasih Dewi.","Ridwan, bro, is Dewi’s boyfriend.",Besier 2021,35,78,*,"Ridwan, bang, adalah pacarnya Dewi.","Ridwan, bang, adalah kekasih Dewi.","Ridwan, bro, is Dewi’s boyfriend.",Besier 2021,35,79,Misc./Unknown,copula
1037,ind,g,John akan memanjangkan jenggotnya.,John akan memanjangkan janggutnya.,John is going to let his beard grow long.,Sukarno 2003,200,51c,*,John akan memanjangi jenggotnya.,John akan memanjangi janggutnya.,John is going to let his beard grow long.,Sukarno 2003,201,52c,Morphology,causativization
2240,zsm,g,Bill minum dua liter air.,Bill minum dua liter air sungai.,Bill drank two liters of river water.,Carson 2000 (adapted),86,13,*,Bill minum dua air.,Bill minum dua air sungai.,Bill drank two river waters.,Carson 2000 (adapted),87,14,Nominal Structure,measure phrase
15,ind,g,Buku itu tidak saya inginkan.,Buku itu tidak saya inginkan.,I don't want the book.,constructed,nan,nan,*,Buku itu tidak saya ingin.,Buku itu tidak saya ingin.,I don't want the book.,Cole & Hermon 2005,67,31a,Argument Structure,transitivity
527,ind,g,Ayah membuatkan mainan itu untuk Tomo.,Ayah membuatkan mainan itu untuk Tomo.,Father made Tomo the toy.,Postman 2002,172,74a,*,Ayah membuatkan untuk Tomo.,Ayah membuatkan untuk Tomo.,Father made Tomo.,Postman 2002,172,74a,Argument Structure,applicative
17,ind,g,Buku yang Wati tulis ada di atas meja itu.,Buku yang Wati tulis ada di atas meja itu.,The book that Wati wrote is on the table.,Cole & Hermon 2005,67,33,*,Buku yang Wati menulis ada di atas meja itu.,Buku yang Wati menulis ada di atas meja itu.,The book that Wati wrote is on the table.,Cole & Hermon 2005,67,32,Morphology,voice
18,ind,g,Buku yang orang terkenal tulis itu ada di atas meja.,Buku yang orang terkenal tulis itu ada di atas meja.,The book written by the famous person is on the table.,constructed,nan,nan,*,Buku yang orang yang tulis terkenal itu ada di atas meja.,Buku yang orang yang menulis terkenal itu ada di atas meja.,The book that the man who wrote is famous is on the table.,Cole & Hermon 2005 (adapted),69,37b,Island effects,complex-NP island
