ID,original_language,good_diacritic,good_sentence_raw,good_sentence,good_translation,good_source,good_page,good_num,bad_diacritic,bad_sentence_raw,bad_sentence,bad_translation,bad_source,bad_page,bad_num,phenomenon,paradigm
1538,ind,g,Mereka belum beritahu saya apa-apa mengenainya ...,Mereka belum beritahu saya apa-apa mengenainya...,They have not yet told me anything about it ...,Kroeger 2014,144,20b,*,Mereka bukan beritahu saya apa-apa mengenainya ...,Meraka bukan beritahu saya apa-apa mengenainya...,They have not yet told me anything about it ...,Kroeger 2014,144,20b,Misc./Unknown,negation
1030,ind,g,Ceritanya membosankan saya.,Ceritanya membosankan saya.,His story bored me.,Sukarno 2003,197,44c,*,Ceritanya membosani saya.,Ceritanya membosani saya.,His story bored me.,Sukarno 2003,197,45c,Morphology,causativization
1543,ind,g,Kemarin saya hanya makan nasi.,Semalam saya hanya makan nasi.,Yesterday I only ate rice.,Kroeger 2014,151,36a,*,Kemarin saya makan hanya nasi.,Semalam saya makan hanya nasi.,Yesterday I ate only rice.,Kroeger 2014,151,36b,Misc./Unknown,focus
1544,ind,g,Kemarin hanya saya yang makan nasi.,Semalam hanya saya yang makan nasi.,Yesterday it was only me who ate rice.,Kroeger 2014,151,36e,*,Kemarin hanya saya makan nasi.,Semalam hanya saya makan nasi.,Yesterday only I ate rice.,Kroeger 2014,151,36d,Filler-gap,cleft
1037,ind,g,John akan memanjangkan jenggotnya.,John akan memanjangkan janggutnya.,John is going to let his beard grow long.,Sukarno 2003,200,51c,*,John akan memanjangi jenggotnya.,John akan memanjangi janggutnya.,John is going to let his beard grow long.,Sukarno 2003,201,52c,Morphology,causativization
2240,zsm,g,Bill minum dua liter air.,Bill minum dua liter air sungai.,Bill drank two liters of river water.,Carson 2000 (adapted),86,13,*,Bill minum dua air.,Bill minum dua air sungai.,Bill drank two river waters.,Carson 2000 (adapted),87,14,Nominal Structure,measure phrase
15,ind,g,Buku itu tidak saya inginkan.,Buku itu tidak saya inginkan.,I don't want the book.,constructed,nan,nan,*,Buku itu tidak saya ingin.,Buku itu tidak saya ingin.,I don't want the book.,Cole & Hermon 2005,67,31a,Argument Structure,transitivity
527,ind,g,Ayah membuatkan mainan itu untuk Tomo.,Ayah membuatkan mainan itu untuk Tomo.,Father made Tomo the toy.,Postman 2002,172,74a,*,Ayah membuatkan untuk Tomo.,Ayah membuatkan untuk Tomo.,Father made Tomo.,Postman 2002,172,74a,Argument Structure,applicative
17,ind,g,Buku yang Wati tulis ada di atas meja itu.,Buku yang Wati tulis ada di atas meja itu.,The book that Wati wrote is on the table.,Cole & Hermon 2005,67,33,*,Buku yang Wati menulis ada di atas meja itu.,Buku yang Wati menulis ada di atas meja itu.,The book that Wati wrote is on the table.,Cole & Hermon 2005,67,32,Morphology,voice
18,ind,g,Buku yang orang terkenal tulis itu ada di atas meja.,Buku yang orang terkenal tulis itu ada di atas meja.,The book written by the famous person is on the table.,constructed,nan,nan,*,Buku yang orang yang tulis terkenal itu ada di atas meja.,Buku yang orang yang menulis terkenal itu ada di atas meja.,The book that the man who wrote is famous is on the table.,Cole & Hermon 2005 (adapted),69,37b,Island effects,complex-NP island
2243,zsm,g,Polis dan perompak menembak satu sama lain di jalan raya.,Polis dan perompak menembak satu sama lain di jalan raya.,Police and robbers shot each other on the street.,Nomoto 2011,7,23c,*,Satu sama lain menembak polis dan perompak di jalan raya.,Satu sama lain menembak polis dan perompak di jalan raya.,Police and robbers shot each other on the street.,Nomoto 2011,7,23c,Binding,reciprocal
1553,ind,g,Terkadang aku harus diam untuk tidak memperbesar masalah.,Kadang-kadang aku harus berdiam diri untuk tidak memperbesar masalah.,Occasionally I need to keep silent in order not to make the problem worse.,Kroeger 2014,167,82a,*,Terkadang aku harus diam untuk bukan memperbesar masalah.,Kadang-kadang aku harus berdiam diri untuk bukan memperbesar masalah.,Occasionally I need to keep silent in order not to make the problem worse.,Kroeger 2014,167,82a,Misc./Unknown,negation
1049,ind,g,Para petani menyirami lahan dengan air.,Petani menyirami ladang dengan air.,The farmers poured the prepared ground with water.,Sukarno 2003,209,62b,*,Para petani menyirami lahan air.,Petani menyirami ladang air.,The farmers poured the prepared ground water.,Sukarno 2003,209,63b,Argument Structure,transitivity
538,ind,g,Perempuan yang dia lihat itu menangis.,Perempuan yang dia lihat itu menangis.,That woman that he saw cried.,Postman 2002,193,104,*,Perempuan yang dia melihat itu menangis.,Perempuan yang dia melihat itu menangis.,That woman that he saw cried.,Postman 2002,193,103,Filler-gap,relative clause
537,ind,g,Ali mengirim apa kepada Tomo?,Ali menghantar apa kepada Tomo?,What did Ali send to Tomo?,Postman 2002,192,101,*,Apa Ali mengirim kepada Tomo?,Apa yang Ali menghantar kepada Tomo?,What did Ali send to Tomo?,Postman 2002 (adapted),192,102,Filler-gap,wh- question
1556,ind,g,Saya minta supaya saudara tidak pergi.,Saya minta supaya saudara tidak pergi.,I request that you don't go.,Kroeger 2014,168,86a,*,Saya minta supaya saudara bukan pergi.,Saya minta supaya saudara bukan pergi.,I request that you don't go.,Kroeger 2014,168,86a,Misc./Unknown,negation
